video_id,video_path,split,exercise_type,quality_label,has_knees_forward,has_knees_inward,knees_forward_segments,knees_inward_segments,annotated_error_segments,frame_count,fps,width,height,duration_seconds,benchmark_split
33491_1,videos_squat/33491_1.mp4,train,squat,knees_forward,True,False,"[[0.5, 2.72]]",[],1,92,30.0,480,600,3.066666666666667,train
33503_2,videos_squat/33503_2.mp4,test,squat,knees_forward,True,False,"[[0.67, 3.83]]",[],1,121,30.0,480,480,4.033333333333333,train
36133_2,videos_squat/36133_2.mp4,train,squat,knees_forward,True,False,"[[1.92, 2.96]]",[],1,118,30.0,480,480,3.933333333333333,train
36399_1,videos_squat/36399_1.mp4,train,squat,knees_forward,True,False,"[[0.74, 1.78], [0.46, 1.4]]",[],2,78,30.0,480,600,2.6,train
36552_1,videos_squat/36552_1.mp4,val,squat,knees_forward,True,False,"[[3.21, 4.17]]",[],1,145,30.0,480,480,4.833333333333333,train
37471_3,videos_squat/37471_3.mp4,val,squat,knees_forward,True,False,"[[0.73, 2.3], [0.57, 1.95]]",[],2,85,30.0,480,600,2.8333333333333335,train
37483_1,videos_squat/37483_1.mp4,train,squat,knees_forward,True,False,"[[2.4, 4.92]]",[],1,155,30.0,480,480,5.166666666666667,train
37820_1,videos_squat/37820_1.mp4,train,squat,knees_forward,True,False,"[[1.32, 3.53], [1.17, 2.04]]",[],2,124,30.0,480,600,4.133333333333334,train
38006_1,videos_squat/38006_1.mp4,train,squat,knees_forward,True,False,"[[2.43, 3.81]]",[],1,118,30.0,480,600,3.933333333333333,train
46626_4,videos_squat/46626_4.mp4,test,squat,knees_forward,True,False,"[[3.67, 4.79]]",[],1,150,30.0,480,270,5.0,train
46655_1,videos_squat/46655_1.mp4,test,squat,knees_forward,True,False,"[[5.56, 6.31]]",[],1,195,30.0,480,600,6.5,train
47168_5,videos_squat/47168_5.mp4,train,squat,knees_forward,True,False,"[[1.61, 2.4]]",[],1,75,30.0,480,600,2.5,train
47716_1,videos_squat/47716_1.mp4,train,squat,knees_forward,True,False,"[[2.44, 4.43]]",[],1,143,30.0,480,270,4.766666666666667,train
48375_3,videos_squat/48375_3.mp4,train,squat,knees_forward,True,False,"[[2.4, 3.27]]",[],1,103,30.0,480,270,3.433333333333333,train
48484_7,videos_squat/48484_7.mp4,train,squat,knees_forward,True,False,"[[2.18, 2.84]]",[],1,107,30.0,480,480,3.566666666666667,train
48602_1,videos_squat/48602_1.mp4,train,squat,knees_forward,True,False,"[[2.75, 5.75]]",[],1,236,30.0,480,480,7.866666666666666,train
48687_3,videos_squat/48687_3.mp4,train,squat,knees_forward,True,False,"[[1.49, 3.53]]",[],1,133,30.0,480,600,4.433333333333334,train
48890_1,videos_squat/48890_1.mp4,train,squat,knees_forward,True,False,"[[2.21, 3.73]]",[],1,118,30.0,480,600,3.933333333333333,train
49073_1,videos_squat/49073_1.mp4,train,squat,knees_forward,True,False,"[[1.66, 3.03]]",[],1,99,30.0,480,480,3.3,train
49353_1,videos_squat/49353_1.mp4,train,squat,knees_forward,True,False,"[[1.86, 5.09]]",[],1,164,30.0,480,600,5.466666666666667,train
49527_2,videos_squat/49527_2.mp4,train,squat,knees_forward,True,False,"[[0.68, 2.49]]",[],1,86,30.0,480,480,2.8666666666666667,train
49646_5,videos_squat/49646_5.mp4,train,squat,knees_forward,True,False,"[[1.93, 2.7]]",[],1,93,30.0,480,480,3.1,train
50122_2,videos_squat/50122_2.mp4,test,squat,knees_forward,True,False,"[[2.28, 3.03]]",[],1,99,30.0,480,600,3.3,train
50300_2,videos_squat/50300_2.mp4,train,squat,knees_forward,True,False,"[[1.94, 2.89]]",[],1,120,30.0,480,480,4.0,train
50583_5,videos_squat/50583_5.mp4,train,squat,knees_forward,True,False,"[[2.52, 3.33]]",[],1,105,30.0,480,480,3.5,train
33063_6,videos_squat/33063_6.mp4,val,squat,knees_inward,False,True,[],"[[2.28, 3.72], [2.23, 3.7]]",2,129,30.0,480,480,4.3,train
33329_5,videos_squat/33329_5.mp4,val,squat,knees_inward,False,True,[],"[[1.89, 2.93]]",1,134,30.0,480,480,4.466666666666667,train
36679_5,videos_squat/36679_5.mp4,train,squat,knees_inward,False,True,[],"[[2.94, 4.05]]",1,202,30.0,480,404,6.733333333333333,train
36885_2,videos_squat/36885_2.mp4,train,squat,knees_inward,False,True,[],"[[2.65, 3.88], [2.78, 3.52]]",2,126,30.0,480,480,4.2,train
36900_2,videos_squat/36900_2.mp4,train,squat,knees_inward,False,True,[],"[[2.23, 3.66], [2.23, 3.43]]",2,183,30.0,480,600,6.1,train
37139_1,videos_squat/37139_1.mp4,val,squat,knees_inward,False,True,[],"[[2.54, 3.27]]",1,172,30.0,480,480,5.733333333333333,train
37859_4,videos_squat/37859_4.mp4,train,squat,knees_inward,False,True,[],"[[1.33, 2.12], [1.38, 2.12]]",2,84,30.0,480,600,2.8,train
46165_1,videos_squat/46165_1.mp4,train,squat,knees_inward,False,True,[],"[[4.1, 5.07]]",1,169,30.0,480,480,5.633333333333334,train
46221_3,videos_squat/46221_3.mp4,train,squat,knees_inward,False,True,[],"[[1.76, 3.29]]",1,153,30.0,480,270,5.1,train
46261_2,videos_squat/46261_2.mp4,train,squat,knees_inward,False,True,[],"[[1.38, 3.41]]",1,122,30.0,480,600,4.066666666666666,train
46685_2,videos_squat/46685_2.mp4,test,squat,knees_inward,False,True,[],"[[1.61, 2.21]]",1,84,30.0,480,480,2.8,train
46706_1,videos_squat/46706_1.mp4,train,squat,knees_inward,False,True,[],"[[3.34, 4.44]]",1,157,30.0,480,480,5.233333333333333,train
47099_1,videos_squat/47099_1.mp4,train,squat,knees_inward,False,True,[],"[[1.59, 2.53]]",1,88,30.0,480,600,2.933333333333333,train
47300_4,videos_squat/47300_4.mp4,train,squat,knees_inward,False,True,[],"[[1.58, 3.32]]",1,125,30.0,480,600,4.166666666666667,train
47878_2,videos_squat/47878_2.mp4,val,squat,knees_inward,False,True,[],"[[2.69, 4.26]]",1,139,30.0,480,600,4.633333333333334,train
47959_1,videos_squat/47959_1.mp4,train,squat,knees_inward,False,True,[],"[[1.67, 3.28]]",1,159,30.0,480,480,5.3,train
48023_6,videos_squat/48023_6.mp4,train,squat,knees_inward,False,True,[],"[[1.3, 3.09]]",1,111,30.0,480,480,3.7,train
48240_5,videos_squat/48240_5.mp4,train,squat,knees_inward,False,True,[],"[[1.98, 3.14]]",1,113,30.0,480,600,3.7666666666666666,train
48460_5,videos_squat/48460_5.mp4,train,squat,knees_inward,False,True,[],"[[1.05, 1.99]]",1,108,30.0,480,480,3.6,train
48464_7,videos_squat/48464_7.mp4,test,squat,knees_inward,False,True,[],"[[1.47, 2.46]]",1,92,30.0,480,480,3.066666666666667,train
48509_1,videos_squat/48509_1.mp4,train,squat,knees_inward,False,True,[],"[[2.96, 3.91]]",1,140,30.0,480,270,4.666666666666667,train
48512_2,videos_squat/48512_2.mp4,train,squat,knees_inward,False,True,[],"[[4.38, 5.56]]",1,189,30.0,480,600,6.3,train
48542_12,videos_squat/48542_12.mp4,train,squat,knees_inward,False,True,[],"[[1.18, 2.09]]",1,72,30.0,480,600,2.4,train
49322_1,videos_squat/49322_1.mp4,train,squat,knees_inward,False,True,[],"[[1.43, 2.36]]",1,80,30.0,480,600,2.6666666666666665,train
49343_4,videos_squat/49343_4.mp4,val,squat,knees_inward,False,True,[],"[[1.81, 2.77]]",1,96,30.0,480,480,3.2,train
49715_1,videos_squat/49715_1.mp4,train,squat,knees_inward,False,True,[],"[[1.98, 2.63]]",1,98,30.0,480,600,3.2666666666666666,train
49848_1,videos_squat/49848_1.mp4,train,squat,knees_inward,False,True,[],"[[1.7, 2.53]]",1,87,30.0,480,600,2.9,train
49998_5,videos_squat/49998_5.mp4,train,squat,knees_inward,False,True,[],"[[2.04, 2.63]]",1,91,30.0,480,480,3.033333333333333,train
33176_3,videos_squat/33176_3.mp4,test,squat,multiple_annotated_errors,True,True,"[[1.92, 3.47]]","[[1.41, 2.61], [1.44, 2.4]]",3,111,30.0,480,270,3.7,train
33301_1,videos_squat/33301_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[1.15, 4.18]]","[[1.93, 3.67]]",2,134,30.0,480,600,4.466666666666667,train
33594_1,videos_squat/33594_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.19, 2.91]]","[[1.66, 2.63]]",2,94,30.0,480,480,3.1333333333333333,train
33620_4,videos_squat/33620_4.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.78, 2.06]]","[[1.58, 2.87], [1.71, 2.78]]",3,96,30.0,480,480,3.2,train
33775_3,videos_squat/33775_3.mp4,val,squat,multiple_annotated_errors,True,True,"[[0.51, 2.46]]","[[1.28, 2.24]]",2,82,30.0,480,600,2.7333333333333334,train
36143_1,videos_squat/36143_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[3.87, 7.69]]","[[3.12, 4.96]]",2,247,30.0,480,600,8.233333333333333,train
36288_3,videos_squat/36288_3.mp4,test,squat,multiple_annotated_errors,True,True,"[[1.77, 2.28]]","[[1.27, 1.93]]",2,84,30.0,480,480,2.8,train
37691_1,videos_squat/37691_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.7, 1.66]]","[[1.14, 2.13], [1.3, 1.98]]",3,75,30.0,480,480,2.5,train
46186_4,videos_squat/46186_4.mp4,test,squat,multiple_annotated_errors,True,True,"[[2.31, 5.2]]","[[1.73, 3.46]]",2,162,30.0,480,600,5.4,train
46365_5,videos_squat/46365_5.mp4,test,squat,multiple_annotated_errors,True,True,"[[1.2, 3.36]]","[[1.75, 3.29]]",2,154,30.0,480,600,5.133333333333334,train
46367_1,videos_squat/46367_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[4.17, 7.15]]","[[3.16, 6.94]]",2,221,30.0,480,480,7.366666666666666,train
46407_1,videos_squat/46407_1.mp4,val,squat,multiple_annotated_errors,True,True,"[[2.94, 4.13]]","[[4.5, 6.71]]",2,208,30.0,480,480,6.933333333333334,train
46779_4,videos_squat/46779_4.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.76, 1.7]]","[[1.3, 1.9]]",2,76,30.0,480,600,2.533333333333333,train
47396_1,videos_squat/47396_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.45, 3.22]]","[[1.82, 3.04]]",2,102,30.0,480,600,3.4,train
47636_1,videos_squat/47636_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.58, 4.61]]","[[1.48, 3.4]]",2,157,30.0,480,480,5.233333333333333,train
48104_1,videos_squat/48104_1.mp4,val,squat,multiple_annotated_errors,True,True,"[[2.7, 4.9]]","[[3.27, 4.32]]",2,151,30.0,480,480,5.033333333333333,train
49150_2,videos_squat/49150_2.mp4,val,squat,multiple_annotated_errors,True,True,"[[2.09, 2.6]]","[[1.31, 2.54]]",2,82,30.0,480,600,2.7333333333333334,train
49289_3,videos_squat/49289_3.mp4,train,squat,multiple_annotated_errors,True,True,"[[1.84, 3.09], [3.62, 4.08]]","[[2.54, 3.91]]",3,130,30.0,480,600,4.333333333333333,train
49399_1,videos_squat/49399_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[0.61, 1.8]]","[[1.44, 2.24]]",2,116,30.0,480,600,3.8666666666666667,train
49532_1,videos_squat/49532_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[2.98, 4.01]]","[[2.05, 3.37]]",2,181,30.0,480,600,6.033333333333333,train
49746_5,videos_squat/49746_5.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.06, 3.31]]","[[1.64, 3.01]]",2,109,30.0,480,600,3.6333333333333333,train
49857_1,videos_squat/49857_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[1.67, 3.27]]","[[1.48, 2.92]]",2,167,30.0,480,600,5.566666666666666,train
49908_1,videos_squat/49908_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[0.87, 4.01]]","[[2.95, 4.06]]",2,131,30.0,480,270,4.366666666666666,train
49957_1,videos_squat/49957_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.37, 2.88], [3.49, 4.68]]","[[3.05, 4.42]]",3,146,30.0,480,480,4.866666666666666,train
49975_2,videos_squat/49975_2.mp4,test,squat,multiple_annotated_errors,True,True,"[[5.76, 8.97]]","[[5.02, 6.82]]",2,283,30.0,480,480,9.433333333333334,train
50121_1,videos_squat/50121_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[1.23, 3.78]]","[[2.14, 3.52]]",2,124,30.0,480,600,4.133333333333334,train
50131_2,videos_squat/50131_2.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.15, 3.06]]","[[1.6, 2.76]]",2,96,30.0,480,600,3.2,train
50284_1,videos_squat/50284_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.33, 3.24]]","[[1.81, 2.96]]",2,103,30.0,480,600,3.433333333333333,train
33511_1,videos_squat/33511_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,100,30.0,480,480,3.3333333333333335,train
33950_2,videos_squat/33950_2.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,66,30.0,480,600,2.2,train
36224_1,videos_squat/36224_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,84,30.0,480,480,2.8,train
36434_2,videos_squat/36434_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,93,30.0,480,600,3.1,train
37053_4,videos_squat/37053_4.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,131,30.0,480,480,4.366666666666666,train
37215_5,videos_squat/37215_5.mp4,train,squat,no_annotated_error,False,False,[],[],0,150,30.0,480,600,5.0,train
37521_1,videos_squat/37521_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,128,30.0,480,600,4.266666666666667,train
37556_3,videos_squat/37556_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,77,30.0,480,480,2.566666666666667,train
37582_2,videos_squat/37582_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,94,30.0,480,480,3.1333333333333333,train
37799_2,videos_squat/37799_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,79,30.0,480,480,2.6333333333333333,train
37917_4,videos_squat/37917_4.mp4,val,squat,no_annotated_error,False,False,[],[],0,92,30.0,480,600,3.066666666666667,train
38100_5,videos_squat/38100_5.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,150,30.0,480,600,5.0,train
38104_1,videos_squat/38104_1.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,112,30.0,480,480,3.7333333333333334,train
38107_5,videos_squat/38107_5.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,117,30.0,480,264,3.9,train
46057_2,videos_squat/46057_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,75,30.0,480,480,2.5,train
46558_3,videos_squat/46558_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,70,30.0,480,480,2.3333333333333335,train
46559_11,videos_squat/46559_11.mp4,val,squat,no_annotated_error,False,False,[],[],0,67,30.0,480,600,2.2333333333333334,train
47347_3,videos_squat/47347_3.mp4,test,squat,no_annotated_error,False,False,[],[],0,118,30.0,480,600,3.933333333333333,train
48410_4,videos_squat/48410_4.mp4,train,squat,no_annotated_error,False,False,[],[],0,151,30.0,480,592,5.033333333333333,train
48867_2,videos_squat/48867_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,99,30.0,480,480,3.3,train
50279_1,videos_squat/50279_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,82,30.0,480,600,2.7333333333333334,train
50418_1,videos_squat/50418_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,120,30.0,480,600,4.0,train
50559_2,videos_squat/50559_2.mp4,val,squat,no_annotated_error,False,False,[],[],0,143,30.0,480,600,4.766666666666667,train
50588_2,videos_squat/50588_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,63,30.0,480,600,2.1,train
50834_1,videos_squat/50834_1.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,110,30.0,480,584,3.6666666666666665,train
50859_1,videos_squat/50859_1.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,236,30.0,480,480,7.866666666666666,train
50867_1,videos_squat/50867_1.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,130,30.0,480,480,4.333333333333333,train
50868_2,videos_squat/50868_2.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,104,30.0,480,480,3.466666666666667,train
33466_5,videos_squat/33466_5.mp4,train,squat,knees_forward,True,False,"[[0.6, 2.55]]",[],1,91,30.0,480,480,3.033333333333333,val
36889_2,videos_squat/36889_2.mp4,train,squat,knees_forward,True,False,"[[1.68, 5.03]]",[],1,159,30.0,480,270,5.3,val
47320_6,videos_squat/47320_6.mp4,test,squat,knees_forward,True,False,"[[1.54, 2.96]]",[],1,107,30.0,480,600,3.566666666666667,val
47919_1,videos_squat/47919_1.mp4,train,squat,knees_forward,True,False,"[[0.89, 2.09], [2.61, 3.48]]",[],2,126,30.0,480,600,4.2,val
48844_1,videos_squat/48844_1.mp4,train,squat,knees_forward,True,False,"[[4.91, 6.59]]",[],1,249,30.0,480,480,8.3,val
49834_2,videos_squat/49834_2.mp4,train,squat,knees_forward,True,False,"[[3.17, 4.79]]",[],1,146,30.0,480,480,4.866666666666666,val
33207_1,videos_squat/33207_1.mp4,train,squat,knees_inward,False,True,[],"[[1.8, 3.39], [1.89, 3.04]]",2,109,30.0,480,480,3.6333333333333333,val
37504_1,videos_squat/37504_1.mp4,train,squat,knees_inward,False,True,[],"[[2.06, 3.9], [2.21, 3.64]]",2,136,30.0,480,600,4.533333333333333,val
47278_3,videos_squat/47278_3.mp4,train,squat,knees_inward,False,True,[],"[[2.18, 3.17]]",1,111,30.0,480,600,3.7,val
48121_1,videos_squat/48121_1.mp4,val,squat,knees_inward,False,True,[],"[[9.62, 10.47]]",1,331,30.0,480,600,11.033333333333333,val
48247_1,videos_squat/48247_1.mp4,train,squat,knees_inward,False,True,[],"[[1.59, 2.1]]",1,71,30.0,480,480,2.3666666666666667,val
50633_1,videos_squat/50633_1.mp4,train,squat,knees_inward,False,True,[],"[[1.42, 2.14]]",1,76,30.0,480,600,2.533333333333333,val
46462_4,videos_squat/46462_4.mp4,val,squat,multiple_annotated_errors,True,True,"[[2.57, 4.78]]","[[2.23, 4.27]]",2,150,30.0,480,600,5.0,val
46529_3,videos_squat/46529_3.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.75, 2.4]]","[[1.25, 2.21]]",2,88,30.0,480,480,2.933333333333333,val
48054_13,videos_squat/48054_13.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.93, 2.41]]","[[1.68, 2.62]]",2,93,30.0,864,486,3.1,val
48122_3,videos_squat/48122_3.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.92, 2.12]]","[[1.15, 1.97]]",2,72,30.0,480,480,2.4,val
48148_1,videos_squat/48148_1.mp4,val,squat,multiple_annotated_errors,True,True,"[[0.47, 2.09]]","[[1.36, 2.36]]",2,97,30.0,480,480,3.2333333333333334,val
49203_1,videos_squat/49203_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[3.53, 4.56]]","[[3.03, 4.23]]",2,141,30.0,480,600,4.7,val
33934_3,videos_squat/33934_3.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,98,30.0,480,600,3.2666666666666666,val
36043_3,videos_squat/36043_3.mp4,val,squat,no_annotated_error,False,False,[],[],0,72,30.0,480,480,2.4,val
46627_3,videos_squat/46627_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,66,30.0,480,480,2.2,val
46651_5,videos_squat/46651_5.mp4,train,squat,no_annotated_error,False,False,[],[],0,158,30.0,480,480,5.266666666666667,val
50828_3,videos_squat/50828_3.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,114,30.0,480,600,3.8,val
50844_1,videos_squat/50844_1.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,82,30.0,480,600,2.7333333333333334,val
