video_id,video_path,split,exercise_type,quality_label,has_knees_forward,has_knees_inward,knees_forward_segments,knees_inward_segments,annotated_error_segments,frame_count,fps,width,height,duration_seconds
33053_1,videos_squat/33053_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[3.09, 5.63]]","[[3.38, 5.34]]",2,182,30.0,480,480,6.066666666666666
33058_3,videos_squat/33058_3.mp4,val,squat,knees_forward,True,False,"[[1.18, 2.02]]",[],1,98,30.0,480,480,3.2666666666666666
33063_6,videos_squat/33063_6.mp4,val,squat,knees_inward,False,True,[],"[[2.28, 3.72], [2.23, 3.7]]",2,129,30.0,480,480,4.3
33071_1,videos_squat/33071_1.mp4,train,squat,knees_forward,True,False,"[[0.68, 1.64]]",[],1,74,30.0,480,600,2.466666666666667
33072_1,videos_squat/33072_1.mp4,train,squat,knees_forward,True,False,"[[0.68, 3.79]]",[],1,122,30.0,480,600,4.066666666666666
33073_2,videos_squat/33073_2.mp4,test,squat,knees_forward,True,False,"[[0.6, 3.45]]",[],1,113,30.0,480,600,3.7666666666666666
33082_1,videos_squat/33082_1.mp4,train,squat,knees_forward,True,False,"[[1.01, 2.26]]",[],1,91,30.0,480,480,3.033333333333333
33088_1,videos_squat/33088_1.mp4,train,squat,knees_forward,True,False,"[[1.18, 1.75], [2.29, 2.76], [1.97, 2.87]]",[],3,93,30.0,480,480,3.1
33090_7,videos_squat/33090_7.mp4,train,squat,no_annotated_error,False,False,[],[],0,65,30.0,480,600,2.1666666666666665
33095_3,videos_squat/33095_3.mp4,train,squat,knees_forward,True,False,"[[0.34, 2.22]]",[],1,104,30.0,480,600,3.466666666666667
33096_3,videos_squat/33096_3.mp4,val,squat,no_annotated_error,False,False,[],[],0,89,30.0,480,600,2.966666666666667
33103_2,videos_squat/33103_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,77,30.0,480,480,2.566666666666667
33104_4,videos_squat/33104_4.mp4,train,squat,no_annotated_error,False,False,[],[],0,85,30.0,480,320,2.8333333333333335
33117_1,videos_squat/33117_1.mp4,train,squat,knees_forward,True,False,"[[1.34, 2.42]]",[],1,100,30.0,480,600,3.3333333333333335
33124_2,videos_squat/33124_2.mp4,train,squat,knees_forward,True,False,"[[0.68, 2.47]]",[],1,79,30.0,480,480,2.6333333333333333
33127_2,videos_squat/33127_2.mp4,train,squat,knees_forward,True,False,"[[0.85, 2.58]]",[],1,116,30.0,480,480,3.8666666666666667
33133_3,videos_squat/33133_3.mp4,test,squat,knees_forward,True,False,"[[1.42, 2.0], [1.18, 2.55]]",[],2,93,30.0,480,600,3.1
33146_1,videos_squat/33146_1.mp4,train,squat,knees_forward,True,False,"[[3.74, 4.43], [2.57, 4.87]]",[],2,159,30.0,480,480,5.3
33151_1,videos_squat/33151_1.mp4,test,squat,no_annotated_error,False,False,[],[],0,76,30.0,480,480,2.533333333333333
33153_4,videos_squat/33153_4.mp4,train,squat,knees_forward,True,False,"[[0.62, 2.13]]",[],1,120,30.0,480,600,4.0
33154_1,videos_squat/33154_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,89,30.0,480,480,2.966666666666667
33159_5,videos_squat/33159_5.mp4,train,squat,no_annotated_error,False,False,[],[],0,106,30.0,480,480,3.533333333333333
33166_1,videos_squat/33166_1.mp4,train,squat,knees_forward,True,False,"[[1.46, 2.8]]",[],1,119,30.0,480,480,3.966666666666667
33170_1,videos_squat/33170_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.76, 2.23]]","[[1.34, 2.22]]",2,101,30.0,480,600,3.3666666666666667
33171_1,videos_squat/33171_1.mp4,train,squat,knees_forward,True,False,"[[0.74, 4.09]]",[],1,129,30.0,480,480,4.3
33172_4,videos_squat/33172_4.mp4,train,squat,no_annotated_error,False,False,[],[],0,261,30.0,480,600,8.7
33176_3,videos_squat/33176_3.mp4,test,squat,multiple_annotated_errors,True,True,"[[1.92, 3.47]]","[[1.41, 2.61], [1.44, 2.4]]",3,111,30.0,480,270,3.7
33194_1,videos_squat/33194_1.mp4,train,squat,knees_forward,True,False,"[[0.73, 1.74]]",[],1,97,30.0,480,600,3.2333333333333334
33203_1,videos_squat/33203_1.mp4,val,squat,knees_forward,True,False,"[[0.88, 3.74]]",[],1,195,30.0,480,600,6.5
33205_1,videos_squat/33205_1.mp4,train,squat,knees_forward,True,False,"[[5.21, 6.8]]",[],1,236,30.0,480,480,7.866666666666666
33207_1,videos_squat/33207_1.mp4,train,squat,knees_inward,False,True,[],"[[1.8, 3.39], [1.89, 3.04]]",2,109,30.0,480,480,3.6333333333333333
33218_2,videos_squat/33218_2.mp4,train,squat,knees_forward,True,False,"[[2.57, 3.57], [2.1, 3.6]]",[],2,112,30.0,480,480,3.7333333333333334
33223_1,videos_squat/33223_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.56, 2.07]]","[[1.62, 2.64]]",2,123,30.0,480,600,4.1
33229_2,videos_squat/33229_2.mp4,train,squat,knees_forward,True,False,"[[0.74, 3.01]]",[],1,96,30.0,480,600,3.2
33233_1,videos_squat/33233_1.mp4,train,squat,knees_forward,True,False,"[[2.47, 3.58], [4.53, 6.18]]",[],2,192,30.0,480,600,6.4
33234_1,videos_squat/33234_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[1.33, 3.1]]","[[2.03, 3.01], [2.01, 2.92]]",3,108,30.0,480,600,3.6
33235_2,videos_squat/33235_2.mp4,val,squat,knees_forward,True,False,"[[0.68, 1.92]]",[],1,77,30.0,480,600,2.566666666666667
33236_3,videos_squat/33236_3.mp4,train,squat,knees_forward,True,False,"[[0.75, 2.35]]",[],1,83,30.0,480,600,2.7666666666666666
33238_3,videos_squat/33238_3.mp4,train,squat,knees_forward,True,False,"[[0.66, 2.47]]",[],1,96,30.0,480,600,3.2
33245_2,videos_squat/33245_2.mp4,test,squat,no_annotated_error,False,False,[],[],0,87,30.0,480,480,2.9
33248_3,videos_squat/33248_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,98,30.0,480,600,3.2666666666666666
33253_2,videos_squat/33253_2.mp4,train,squat,knees_forward,True,False,"[[0.44, 3.13]]",[],1,123,30.0,480,600,4.1
33254_1,videos_squat/33254_1.mp4,train,squat,knees_forward,True,False,"[[1.26, 3.44]]",[],1,113,30.0,480,600,3.7666666666666666
33273_1,videos_squat/33273_1.mp4,train,squat,knees_forward,True,False,"[[0.8, 2.1]]",[],1,99,30.0,480,596,3.3
33277_10,videos_squat/33277_10.mp4,val,squat,knees_forward,True,False,"[[0.74, 1.28], [0.66, 2.07]]",[],2,72,30.0,480,480,2.4
33279_1,videos_squat/33279_1.mp4,val,squat,multiple_annotated_errors,True,True,"[[1.45, 4.72]]","[[2.71, 4.63]]",2,150,30.0,480,600,5.0
33284_1,videos_squat/33284_1.mp4,test,squat,knees_forward,True,False,"[[0.93, 2.66]]",[],1,94,30.0,480,480,3.1333333333333333
33289_4,videos_squat/33289_4.mp4,train,squat,knees_forward,True,False,"[[2.06, 4.55]]",[],1,147,30.0,480,270,4.9
33290_1,videos_squat/33290_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,106,30.0,480,480,3.533333333333333
33297_2,videos_squat/33297_2.mp4,val,squat,no_annotated_error,False,False,[],[],0,111,30.0,480,600,3.7
33300_1,videos_squat/33300_1.mp4,train,squat,knees_forward,True,False,"[[0.67, 1.67], [0.81, 3.03]]",[],2,99,30.0,480,270,3.3
33301_1,videos_squat/33301_1.mp4,test,squat,multiple_annotated_errors,True,True,"[[1.15, 4.18]]","[[1.93, 3.67]]",2,134,30.0,480,600,4.466666666666667
33303_1,videos_squat/33303_1.mp4,test,squat,knees_forward,True,False,"[[0.66, 5.13]]",[],1,163,30.0,480,480,5.433333333333334
33305_8,videos_squat/33305_8.mp4,train,squat,no_annotated_error,False,False,[],[],0,153,30.0,480,480,5.1
33316_1,videos_squat/33316_1.mp4,test,squat,knees_forward,True,False,"[[2.94, 3.16]]",[],1,115,30.0,480,480,3.8333333333333335
33322_3,videos_squat/33322_3.mp4,val,squat,knees_forward,True,False,"[[0.96, 3.38]]",[],1,125,30.0,480,600,4.166666666666667
33329_5,videos_squat/33329_5.mp4,val,squat,knees_inward,False,True,[],"[[1.89, 2.93]]",1,134,30.0,480,480,4.466666666666667
33330_3,videos_squat/33330_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,102,30.0,480,480,3.4
33334_2,videos_squat/33334_2.mp4,val,squat,knees_forward,True,False,"[[1.1, 2.37]]",[],1,98,30.0,480,600,3.2666666666666666
33345_1,videos_squat/33345_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,108,30.0,480,600,3.6
33348_2,videos_squat/33348_2.mp4,train,squat,knees_forward,True,False,"[[2.29, 3.46]]",[],1,108,30.0,480,480,3.6
33357_2,videos_squat/33357_2.mp4,train,squat,knees_forward,True,False,"[[1.71, 2.61], [3.61, 4.53], [3.52, 4.24]]",[],3,152,30.0,480,480,5.066666666666666
33364_2,videos_squat/33364_2.mp4,train,squat,knees_forward,True,False,"[[0.78, 2.47]]",[],1,79,30.0,480,264,2.6333333333333333
33367_1,videos_squat/33367_1.mp4,train,squat,knees_forward,True,False,"[[0.81, 3.44]]",[],1,120,30.0,480,600,4.0
33373_5,videos_squat/33373_5.mp4,test,squat,multiple_annotated_errors,True,True,"[[0.83, 1.9]]","[[1.41, 2.46]]",2,89,30.0,480,270,2.966666666666667
33374_2,videos_squat/33374_2.mp4,val,squat,knees_forward,True,False,"[[0.62, 1.5]]",[],1,64,30.0,480,480,2.1333333333333333
33375_5,videos_squat/33375_5.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.06, 2.62], [3.96, 4.72], [1.96, 4.36]]","[[2.76, 4.17], [2.59, 4.18]]",5,164,30.0,480,480,5.466666666666667
33384_1,videos_squat/33384_1.mp4,val,squat,knees_forward,True,False,"[[1.18, 3.86]]",[],1,123,30.0,480,480,4.1
33387_1,videos_squat/33387_1.mp4,train,squat,knees_inward,False,True,[],"[[2.02, 3.3]]",1,115,30.0,480,270,3.8333333333333335
33388_4,videos_squat/33388_4.mp4,train,squat,no_annotated_error,False,False,[],[],0,141,30.0,480,480,4.7
33406_8,videos_squat/33406_8.mp4,val,squat,knees_forward,True,False,"[[0.69, 2.52]]",[],1,82,30.0,480,480,2.7333333333333334
33417_1,videos_squat/33417_1.mp4,train,squat,knees_forward,True,False,"[[2.22, 3.49]]",[],1,189,30.0,480,600,6.3
33419_4,videos_squat/33419_4.mp4,train,squat,knees_forward,True,False,"[[1.74, 2.65]]",[],1,86,30.0,480,480,2.8666666666666667
33425_1,videos_squat/33425_1.mp4,train,squat,knees_forward,True,False,"[[3.06, 6.38]]",[],1,267,30.0,480,270,8.9
33427_1,videos_squat/33427_1.mp4,val,squat,knees_forward,True,False,"[[0.39, 2.03]]",[],1,87,30.0,480,600,2.9
33430_2,videos_squat/33430_2.mp4,train,squat,knees_forward,True,False,"[[0.9, 3.46]]",[],1,114,30.0,480,600,3.8
33432_2,videos_squat/33432_2.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.66, 2.66]]","[[2.19, 3.36]]",2,121,30.0,480,480,4.033333333333333
33433_2,videos_squat/33433_2.mp4,train,squat,knees_forward,True,False,"[[0.58, 2.33]]",[],1,101,30.0,480,600,3.3666666666666667
33434_1,videos_squat/33434_1.mp4,train,squat,knees_forward,True,False,"[[0.53, 1.61]]",[],1,59,30.0,480,600,1.9666666666666666
33440_2,videos_squat/33440_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,72,30.0,480,480,2.4
33454_1,videos_squat/33454_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,139,30.0,480,600,4.633333333333334
33461_2,videos_squat/33461_2.mp4,train,squat,knees_forward,True,False,"[[0.73, 2.31]]",[],1,93,30.0,480,480,3.1
33466_5,videos_squat/33466_5.mp4,train,squat,knees_forward,True,False,"[[0.6, 2.55]]",[],1,91,30.0,480,480,3.033333333333333
33468_2,videos_squat/33468_2.mp4,train,squat,knees_forward,True,False,"[[4.58, 5.31]]",[],1,237,30.0,480,480,7.9
33483_2,videos_squat/33483_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,130,30.0,480,600,4.333333333333333
33485_2,videos_squat/33485_2.mp4,train,squat,knees_forward,True,False,"[[0.47, 1.79]]",[],1,66,30.0,480,480,2.2
33491_1,videos_squat/33491_1.mp4,train,squat,knees_forward,True,False,"[[0.5, 2.72]]",[],1,92,30.0,480,600,3.066666666666667
33497_1,videos_squat/33497_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,45,30.0,480,600,1.5
33499_1,videos_squat/33499_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,72,30.0,480,600,2.4
33500_3,videos_squat/33500_3.mp4,train,squat,knees_forward,True,False,"[[0.52, 2.54]]",[],1,119,30.0,480,480,3.966666666666667
33503_2,videos_squat/33503_2.mp4,test,squat,knees_forward,True,False,"[[0.67, 3.83]]",[],1,121,30.0,480,480,4.033333333333333
33511_1,videos_squat/33511_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,100,30.0,480,480,3.3333333333333335
33513_1,videos_squat/33513_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,117,30.0,480,480,3.9
33532_1,videos_squat/33532_1.mp4,train,squat,knees_forward,True,False,"[[2.94, 8.17]]",[],1,248,30.0,480,480,8.266666666666667
33540_2,videos_squat/33540_2.mp4,train,squat,knees_forward,True,False,"[[0.65, 2.19]]",[],1,76,30.0,480,480,2.533333333333333
33547_1,videos_squat/33547_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,94,30.0,480,600,3.1333333333333333
33552_4,videos_squat/33552_4.mp4,train,squat,no_annotated_error,False,False,[],[],0,78,30.0,480,600,2.6
33554_3,videos_squat/33554_3.mp4,test,squat,no_annotated_error,False,False,[],[],0,73,30.0,480,270,2.433333333333333
33555_5,videos_squat/33555_5.mp4,train,squat,knees_forward,True,False,"[[1.02, 1.36], [0.6, 1.79]]",[],2,61,30.0,480,852,2.033333333333333
33561_3,videos_squat/33561_3.mp4,test,squat,knees_forward,True,False,"[[0.8, 2.1]]",[],1,72,30.0,480,600,2.4
33565_1,videos_squat/33565_1.mp4,test,squat,knees_forward,True,False,"[[1.2, 2.55]]",[],1,100,30.0,480,600,3.3333333333333335
33576_2,videos_squat/33576_2.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.67, 5.6]]","[[1.64, 5.46], [1.69, 4.77]]",3,181,30.0,480,600,6.033333333333333
33577_1,videos_squat/33577_1.mp4,val,squat,no_annotated_error,False,False,[],[],0,137,30.0,480,480,4.566666666666666
33584_1,videos_squat/33584_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,83,30.0,480,600,2.7666666666666666
33591_1,videos_squat/33591_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.93, 2.99]]","[[1.63, 2.92], [1.49, 2.54]]",3,99,30.0,480,600,3.3
33594_1,videos_squat/33594_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.19, 2.91]]","[[1.66, 2.63]]",2,94,30.0,480,480,3.1333333333333333
33596_1,videos_squat/33596_1.mp4,val,squat,knees_forward,True,False,"[[2.67, 6.73]]",[],1,207,30.0,480,480,6.9
33599_4,videos_squat/33599_4.mp4,val,squat,knees_forward,True,False,"[[0.47, 2.16]]",[],1,90,30.0,480,480,3.0
33601_2,videos_squat/33601_2.mp4,train,squat,knees_forward,True,False,"[[0.78, 2.43]]",[],1,80,30.0,480,480,2.6666666666666665
33603_1,videos_squat/33603_1.mp4,train,squat,knees_forward,True,False,"[[0.63, 2.95]]",[],1,115,30.0,480,270,3.8333333333333335
33608_4,videos_squat/33608_4.mp4,train,squat,knees_forward,True,False,"[[0.82, 2.97]]",[],1,103,30.0,480,600,3.433333333333333
33620_4,videos_squat/33620_4.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.78, 2.06]]","[[1.58, 2.87], [1.71, 2.78]]",3,96,30.0,480,480,3.2
33626_1,videos_squat/33626_1.mp4,train,squat,knees_forward,True,False,"[[1.2, 3.19]]",[],1,124,30.0,480,600,4.133333333333334
33628_4,videos_squat/33628_4.mp4,test,squat,knees_forward,True,False,"[[1.96, 2.49]]",[],1,83,30.0,480,480,2.7666666666666666
33630_2,videos_squat/33630_2.mp4,train,squat,knees_forward,True,False,"[[0.86, 2.61]]",[],1,94,30.0,480,270,3.1333333333333333
33634_10,videos_squat/33634_10.mp4,test,squat,no_annotated_error,False,False,[],[],0,101,30.0,480,852,3.3666666666666667
33641_3,videos_squat/33641_3.mp4,train,squat,knees_forward,True,False,"[[0.86, 2.31]]",[],1,121,30.0,480,480,4.033333333333333
33643_1,videos_squat/33643_1.mp4,val,squat,knees_forward,True,False,"[[2.24, 3.02]]",[],1,149,30.0,480,480,4.966666666666667
33648_1,videos_squat/33648_1.mp4,train,squat,knees_forward,True,False,"[[2.11, 5.45]]",[],1,219,30.0,480,480,7.3
33652_1,videos_squat/33652_1.mp4,test,squat,no_annotated_error,False,False,[],[],0,130,30.0,480,600,4.333333333333333
33654_3,videos_squat/33654_3.mp4,train,squat,knees_forward,True,False,"[[0.48, 1.73]]",[],1,73,30.0,480,600,2.433333333333333
33658_1,videos_squat/33658_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.66, 2.87]]","[[1.41, 2.88], [1.46, 2.68]]",3,93,30.0,480,480,3.1
33659_3,videos_squat/33659_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,87,30.0,480,600,2.9
33660_8,videos_squat/33660_8.mp4,test,squat,no_annotated_error,False,False,[],[],0,80,30.0,480,480,2.6666666666666665
33663_3,videos_squat/33663_3.mp4,train,squat,knees_forward,True,False,"[[1.28, 4.85]]",[],1,158,30.0,480,600,5.266666666666667
33666_7,videos_squat/33666_7.mp4,train,squat,no_annotated_error,False,False,[],[],0,95,30.0,480,600,3.1666666666666665
33667_1,videos_squat/33667_1.mp4,train,squat,knees_forward,True,False,"[[2.54, 4.37]]",[],1,175,30.0,480,480,5.833333333333333
33671_1,videos_squat/33671_1.mp4,train,squat,knees_forward,True,False,"[[2.16, 3.36]]",[],1,134,30.0,480,270,4.466666666666667
33675_1,videos_squat/33675_1.mp4,train,squat,knees_forward,True,False,"[[0.66, 3.09]]",[],1,98,30.0,480,600,3.2666666666666666
33676_1,videos_squat/33676_1.mp4,train,squat,knees_forward,True,False,"[[1.85, 4.95]]",[],1,167,30.0,480,480,5.566666666666666
33691_4,videos_squat/33691_4.mp4,train,squat,knees_forward,True,False,"[[0.54, 2.11]]",[],1,85,30.0,480,270,2.8333333333333335
33725_2,videos_squat/33725_2.mp4,train,squat,knees_forward,True,False,"[[1.25, 2.9]]",[],1,99,30.0,480,270,3.3
33726_5,videos_squat/33726_5.mp4,train,squat,no_annotated_error,False,False,[],[],0,83,30.0,480,480,2.7666666666666666
33729_4,videos_squat/33729_4.mp4,test,squat,knees_forward,True,False,"[[0.7, 1.73]]",[],1,72,30.0,480,480,2.4
33735_8,videos_squat/33735_8.mp4,train,squat,no_annotated_error,False,False,[],[],0,95,30.0,480,480,3.1666666666666665
33736_1,videos_squat/33736_1.mp4,train,squat,knees_forward,True,False,"[[1.11, 2.26]]",[],1,76,30.0,480,480,2.533333333333333
33742_1,videos_squat/33742_1.mp4,test,squat,knees_forward,True,False,"[[1.2, 2.81]]",[],1,93,30.0,480,600,3.1
33743_1,videos_squat/33743_1.mp4,val,squat,no_annotated_error,False,False,[],[],0,101,30.0,480,480,3.3666666666666667
33747_2,videos_squat/33747_2.mp4,val,squat,knees_forward,True,False,"[[1.51, 2.03], [0.99, 2.39]]",[],2,95,30.0,480,480,3.1666666666666665
33752_3,videos_squat/33752_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,114,30.0,480,600,3.8
33758_1,videos_squat/33758_1.mp4,test,squat,knees_forward,True,False,"[[0.43, 3.28]]",[],1,119,30.0,480,600,3.966666666666667
33765_1,videos_squat/33765_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,100,30.0,480,270,3.3333333333333335
33775_3,videos_squat/33775_3.mp4,val,squat,multiple_annotated_errors,True,True,"[[0.51, 2.46]]","[[1.28, 2.24]]",2,82,30.0,480,600,2.7333333333333334
33777_8,videos_squat/33777_8.mp4,val,squat,knees_forward,True,False,"[[1.32, 2.66]]",[],1,118,30.0,480,480,3.933333333333333
33786_6,videos_squat/33786_6.mp4,train,squat,knees_forward,True,False,"[[4.85, 5.98]]",[],1,203,30.0,480,600,6.766666666666667
33791_3,videos_squat/33791_3.mp4,val,squat,knees_forward,True,False,"[[0.56, 2.43]]",[],1,79,30.0,480,600,2.6333333333333333
33793_6,videos_squat/33793_6.mp4,train,squat,no_annotated_error,False,False,[],[],0,77,30.0,480,600,2.566666666666667
33805_1,videos_squat/33805_1.mp4,train,squat,knees_forward,True,False,"[[0.71, 1.75]]",[],1,74,30.0,480,600,2.466666666666667
33809_1,videos_squat/33809_1.mp4,train,squat,knees_forward,True,False,"[[1.78, 3.19]]",[],1,162,30.0,480,600,5.4
33816_1,videos_squat/33816_1.mp4,train,squat,knees_forward,True,False,"[[0.88, 1.88]]",[],1,79,30.0,480,480,2.6333333333333333
33819_1,videos_squat/33819_1.mp4,val,squat,knees_forward,True,False,"[[2.68, 3.66]]",[],1,119,30.0,480,480,3.966666666666667
33824_4,videos_squat/33824_4.mp4,train,squat,knees_forward,True,False,"[[0.87, 2.73]]",[],1,103,30.0,480,600,3.433333333333333
33827_1,videos_squat/33827_1.mp4,train,squat,knees_forward,True,False,"[[2.51, 5.1]]",[],1,155,30.0,480,600,5.166666666666667
33838_3,videos_squat/33838_3.mp4,train,squat,knees_forward,True,False,"[[0.83, 3.02]]",[],1,101,30.0,480,480,3.3666666666666667
33839_1,videos_squat/33839_1.mp4,train,squat,knees_forward,True,False,"[[1.9, 2.91]]",[],1,102,30.0,480,480,3.4
33843_1,videos_squat/33843_1.mp4,test,squat,knees_forward,True,False,"[[1.7, 2.63]]",[],1,84,30.0,480,480,2.8
33844_2,videos_squat/33844_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,78,30.0,480,600,2.6
33845_1,videos_squat/33845_1.mp4,train,squat,knees_forward,True,False,"[[0.49, 1.73]]",[],1,74,30.0,480,480,2.466666666666667
33847_2,videos_squat/33847_2.mp4,test,squat,knees_forward,True,False,"[[0.86, 2.17]]",[],1,78,30.0,480,270,2.6
33850_1,videos_squat/33850_1.mp4,test,squat,knees_forward,True,False,"[[2.32, 3.97]]",[],1,126,30.0,480,480,4.2
33860_3,videos_squat/33860_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,71,30.0,480,600,2.3666666666666667
33868_1,videos_squat/33868_1.mp4,train,squat,knees_forward,True,False,"[[0.74, 2.27]]",[],1,105,30.0,480,600,3.5
33876_9,videos_squat/33876_9.mp4,train,squat,no_annotated_error,False,False,[],[],0,79,30.0,480,480,2.6333333333333333
33877_2,videos_squat/33877_2.mp4,test,squat,knees_forward,True,False,"[[0.55, 1.57]]",[],1,66,30.0,480,600,2.2
33881_2,videos_squat/33881_2.mp4,train,squat,knees_forward,True,False,"[[0.9, 2.01]]",[],1,70,30.0,480,480,2.3333333333333335
33882_2,videos_squat/33882_2.mp4,train,squat,knees_forward,True,False,"[[0.85, 1.93]]",[],1,70,30.0,480,480,2.3333333333333335
33883_3,videos_squat/33883_3.mp4,test,squat,knees_forward,True,False,"[[0.79, 3.24]]",[],1,180,30.0,480,480,6.0
33884_1,videos_squat/33884_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,71,30.0,480,600,2.3666666666666667
33891_1,videos_squat/33891_1.mp4,train,squat,knees_forward,True,False,"[[0.55, 2.3]]",[],1,87,30.0,480,480,2.9
